H2 0652-1    25/12/18                 0         0         0  (未使用) 0 0     
H2                                                                            
H2                                                                            
H3             山浦                               様        F-0003            
H2 平成25年吉日　　                                                           
H2 長崎市大浜町                                                               
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
D2 山浦邸-浴室改修工事及び､襖新調張替                0       0        0 0 0   
D2 浴室改修工事               小計256,100円          0       0        0 0 0   
D2   1.清掃(天井･壁)                        式       1   18000    18000 0 0   
D2   2.土間ｼ-ﾄ貼り-立ち上り2～3mm (3M)      式       1   75000    75000 0 0   
D2   3.換気扇取替え工事(材工共)             台       1   15000    15000 0 0   
D2   4.浴室折戸(744×1720)取替え工事        ｾｯﾄ      1   35000    35000 0 0   
D2   5.折戸取付下地                         ㎡      13   12000    15600 1 0   
D2   6.折戸-横袖壁造作                      ㎡      15   15000    22500 1 0   
D2   7.ﾊﾟﾈﾙ(内外)貼り                       ㎡       4   12000    48000 0 0   
D2   8.折戸用額縁取付                       式       1   12000    12000 0 0   
D2   9.ｺ-ｷﾝｸﾞ補修(既設穴部共)               式       1   15000    15000 0 0   
D2 襖新調･張替･縁取替         小計142,500円          0       0        0 0 0   
D2   襖張替   1.間仕切                      枚       4    7000    28000 0 0   
D2            2.押入                        枚       5    4500    22500 0 0   
D2   襖縁取替 1.間仕切                      枚       4    5000    20000 0 0   
M2                                                                            
M2                                                                            
M2                                                                            
D2            2.押入                        枚       5    5000    25000 0 0   
D2   建付け調整費                           式       1   12000    12000 0 0   
D2   戸襖新調取付(ﾚ-ﾙ･車･引き手･建付調整共) 式       1   35000    35000 0 0   
D2 廃材処分費                               式       1   12000    12000 0 0   
D2 諸経費                                   式       1   28000    28000 0 0   
