H2 0101      25/10/16                 0         0         0  (未使用) 0 0     
H2                                                                            
H2                                                                            
H3             泉田                               様        F-0003            
H2 平成25年10月7日                                                            
H2 長崎市                                                                     
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
D2 泉田ﾋﾞﾙ2F改修工事                                 0       0        0 0 0   
D2   1.既設解体処分(畳含む)工事             坪      15   18000   270000 0 0   
D2   2.木工事                               式       1 1202000  1202000 0 0   
D2   3.家具･建具工事                        式       1  730000   730000 0 0   
D2                                                   0       0        0 0 0   
D2   4.電気工事(配線･ｽｲｯﾁ･ｺﾝｾﾝﾄ他-材工共)   式       1  235000   235000 0 0   
D2   4-1.ｴｱｺﾝ新調取付工事                            0       0        0 0 0   
D2    ①4.5k                                台       1  125000   125000 0 0   
D2    ②2.5k                                台       1   85000    85000 0 0   
D2    ③既設ｴｱｺﾝ移設工事                    台       1   55000    55000 0 0   
D2   4-2.配電盤新調取替工事                 式       1   38000    38000 0 0   
D2                                                   0       0        0 0 0   
D2   5.ｸﾛｽ工事(天井･壁)                     ㎡     174    1200   208800 0 0   
D2   6.産廃処分費                           式       1   75000    75000 0 0   
D2   7.諸経費(設計･現場管理費含)            式       1  165000   165000 0 0   
M2                                                                            
M2                                                                            
M2                                                                            
D2   8.ｶﾞﾗｽ取替工事(防火認定耐熱強化ｶﾞﾗｽ)   箇所     1   65000    65000 0 0   
D2   9.屋上入口階段部-網戸張替工事          枚       1    2000     2000 0 0   
D2  10.2階-清掃床ﾜｯｸｽ掛け                   式       1   50000    50000 0 0   
D2 端数調整                                          0       0      -85 0 0   
D2                                                   0       0        0 0 0   
